bank,period,period_end,net_profit_cr,nii_cr,nim_pct,advances_cr,deposits_cr,casa_pct,gnpa_pct,nnpa_pct,roa_pct,roe_pct,car_pct,cost_income_pct,status
ICICI Bank,FY2022,2022-03-31,23339,47466,3.96,859020,1064572,45.0,3.60,0.76,1.84,14.70,19.16,40.0,Audited
ICICI Bank,FY2023,2023-03-31,31896,62028,4.48,1019638,1180841,43.6,2.81,0.48,2.13,17.28,18.34,40.4,Audited
ICICI Bank,FY2024,2024-03-31,40888,74306,4.53,1184406,1412825,38.4,2.16,0.42,2.37,18.65,18.34,40.2,Audited
ICICI Bank,FY2025,2025-03-31,47227,81245,4.32,1326822,1610348,39.0,1.67,0.39,2.40,18.00,16.55,39.1,Audited
ICICI Bank,FY2026,2026-03-31,54758,91412,4.18,1531487,1832210,38.7,1.40,0.39,2.46,18.40,16.80,38.5,Audited
HDFC Bank,FY2022,2022-03-31,36961,72009,4.00,1368821,1559217,48.2,1.17,0.32,1.90,16.90,18.90,36.9,Audited
HDFC Bank,FY2023,2023-03-31,44109,86842,4.10,1600586,1883395,44.4,1.12,0.27,2.07,17.40,19.26,36.6,Audited
HDFC Bank,FY2024,2024-03-31,60812,108533,3.44,2484893,2379828,38.2,1.24,0.33,1.91,14.60,18.80,40.0,Audited
HDFC Bank,FY2025,2025-03-31,67347,122670,3.48,2668436,2796990,34.8,1.33,0.43,1.92,14.40,19.60,40.7,Audited
HDFC Bank,FY2026,2026-03-31,72648,132908,3.35,2872400,3105100,34.1,1.19,0.36,1.88,14.20,19.30,41.2,Audited
Axis Bank,FY2022,2022-03-31,13025,33890,3.53,707696,821930,44.0,2.82,0.73,1.21,12.91,18.54,47.0,Audited
Axis Bank,FY2023,2023-03-31,9579,42946,4.02,845303,946945,47.2,2.02,0.39,0.80,8.00,17.64,43.0,Audited
Axis Bank,FY2024,2024-03-31,24861,49894,4.07,965068,1068984,43.0,1.43,0.31,1.84,18.35,16.63,42.0,Audited
Axis Bank,FY2025,2025-03-31,26373,53970,3.93,1040679,1178474,41.5,1.28,0.33,1.74,16.60,17.07,41.5,Audited
Axis Bank,FY2026,2026-03-31,30322,59084,3.74,1194280,1289300,40.4,1.23,0.28,1.82,17.10,16.70,40.8,Audited
Kotak Mahindra Bank,FY2022,2022-03-31,8573,15830,4.62,271254,311684,60.7,2.34,0.64,1.86,11.00,22.69,48.6,Audited
Kotak Mahindra Bank,FY2023,2023-03-31,10732,21723,5.33,319861,363096,52.8,1.78,0.37,2.31,13.30,21.80,47.3,Audited
Kotak Mahindra Bank,FY2024,2024-03-31,13782,25293,5.32,376075,448954,45.5,1.39,0.34,2.61,15.30,20.55,46.8,Audited
Kotak Mahindra Bank,FY2025,2025-03-31,22426,28242,4.96,426909,499055,43.0,1.42,0.31,3.10,17.90,22.30,45.8,Audited
Kotak Mahindra Bank,FY2026,2026-03-31,23980,30955,4.72,485400,559800,41.6,1.20,0.31,2.72,15.80,21.90,44.5,Audited
Yes Bank,FY2022,2022-03-31,1066,6324,2.32,181052,197192,31.1,13.93,4.53,0.40,3.80,17.40,78.4,Audited
Yes Bank,FY2023,2023-03-31,717,7637,2.60,203269,217502,30.8,2.17,0.83,0.20,2.00,17.90,73.1,Audited
Yes Bank,FY2024,2024-03-31,1251,8105,2.40,227799,266372,30.9,1.70,0.60,0.30,3.10,16.10,74.4,Audited
Yes Bank,FY2025,2025-03-31,2406,8820,2.50,246188,284525,34.3,1.60,0.30,0.50,5.00,15.60,71.2,Audited
Yes Bank,FY2026,2026-03-31,3554,10196,2.60,274120,321840,33.8,1.50,0.30,0.66,6.30,15.20,69.8,Audited

